,menu_item,price,calories,address
277,Baconator®,7.69,960,"8814 Hwy 20 W, Madison, AL, 35758, US"
278,Son of Baconator®,5.99,630,"8814 Hwy 20 W, Madison, AL, 35758, US"
279,Big Bacon Classic®,6.39,650,"8814 Hwy 20 W, Madison, AL, 35758, US"
280,Big Bacon Classic® Double,7.39,910,"8814 Hwy 20 W, Madison, AL, 35758, US"
281,Big Bacon Classic Triple,8.39,"1,220","8814 Hwy 20 W, Madison, AL, 35758, US"
282,Bacon Double Stack,3.69,440,"8814 Hwy 20 W, Madison, AL, 35758, US"
283,Jr. Bacon Cheeseburger,3.19,370,"8814 Hwy 20 W, Madison, AL, 35758, US"
284,Jr. Cheeseburger Deluxe,2.49,340,"8814 Hwy 20 W, Madison, AL, 35758, US"
285,Jr. Cheeseburger,1.99,290,"8814 Hwy 20 W, Madison, AL, 35758, US"
286,Double Stack™,3.19,410,"8814 Hwy 20 W, Madison, AL, 35758, US"
287,Jr. Hamburger,1.59,250,"8814 Hwy 20 W, Madison, AL, 35758, US"
288,French Fries,1.79-2.99,210-470,"8814 Hwy 20 W, Madison, AL, 35758, US"
289,Baconator Fries,3.69,460,"8814 Hwy 20 W, Madison, AL, 35758, US"
290,Chili Cheese Fries,3.69,520,"8814 Hwy 20 W, Madison, AL, 35758, US"
